;position;reference;offer;company;town
56;Разработчик Python;https://spb.hh.ru/vacancy/80946460?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;EGAR TECHNOLOGY, INC.;Москва
57;Инженер-программист на Python (Backend developer);https://spb.hh.ru/vacancy/80372513?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Alphaopen;Москва
58;Python-разработчик;https://spb.hh.ru/vacancy/75700571?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Сбер. IT;Москва
59;Python developer;https://spb.hh.ru/vacancy/79968597?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Сбер для экспертов;Москва
60;Middle full-stack разработчик (Python+VueJS/React);https://spb.hh.ru/vacancy/81652348?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;ООО Интермобилити;Москва
61;Senior Python developer (remote);https://spb.hh.ru/vacancy/81525809?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;ООО Банк 131;Москва
62;Тимлид B2B SaaS (Python/Django/нейросети);https://spb.hh.ru/vacancy/81027745?from=vacancy_search_list&query=python+and+Django+and+Flask;от 300 000 руб.;ООО Инспектор Клауд;Москва
63;Python Team Lead / Руководитель backend разработки;https://spb.hh.ru/vacancy/54492842?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;SUNLIGHT/САНЛАЙТ;Москва
64;Инженер-разработчик Python;https://spb.hh.ru/vacancy/77601657?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Максмарт;Москва
65;Python Developer;https://spb.hh.ru/vacancy/80916629?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Сбер для экспертов;Москва
66;Middle Python developer / Разработчик Python;https://spb.hh.ru/vacancy/80867007?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Beorg;Москва
67;Pyhton developer (Middle,Senior);https://spb.hh.ru/vacancy/80154298?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Уральская горно-металлургическая компания;Москва
68;Python developer;https://spb.hh.ru/vacancy/80578992?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;ООО Napoleon IT;Санкт-Петербург
69;Разработчик Python;https://spb.hh.ru/vacancy/80582319?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;АО Лотереи Москвы;Москва
70;"Автор курса ""Python-разработчик"" в Яндекс Практикум";https://spb.hh.ru/vacancy/81121034?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Яндекс;Москва
71;Python разработчик (Middle) (PT CERT);https://spb.hh.ru/vacancy/81376579?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Positive Technologies;Москва
72;Python разработчик (Middle) (PT CERT);https://spb.hh.ru/vacancy/81376581?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Positive Technologies;Санкт-Петербург
73;Программист Python (middle);https://spb.hh.ru/vacancy/79584451?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Центр Методического Обеспечения Оптимизации Процессов Государственного Управления в Московской области;Москва
74;Python разработчик (backend);https://spb.hh.ru/vacancy/80986443?from=vacancy_search_list&query=python+and+Django+and+Flask;Зарплата не указана.;Сбер для экспертов;Москва
